"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,Zone,"Origin City","Origin State","Destination City","Destination State","Pickup Pincode","Charged Weight","Freight Charges","COD Charges",IGST,SGST,CGST,"Grand Total","Order Type"
Forward,"Air Xpressbees 0.5 K.G",14345160225244,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662920,#DERMA2926517,COD,382481,AHMEDABAD,z1,AHMEDABAD,GUJARAT,AHMEDABAD,GUJARAT,380018,0.5,19.49,13.56,0,2.97,2.97,38.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225250,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662921,#DERMA2926497,COD,462023,BHOPAL,z6,AHMEDABAD,GUJARAT,BHOPAL,"MADHYA PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225245,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24662922,#DERMA2926470,COD,388001,ANAND,z2,AHMEDABAD,GUJARAT,ANAND,GUJARAT,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225246,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662923,#DERMA2926351,COD,244921,Rampur,z6,AHMEDABAD,GUJARAT,Rampur,"UTTAR PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225247,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662924,#DERMA2926878,COD,416012,KOLHAPUR,z3,AHMEDABAD,GUJARAT,KOLHAPUR,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225249,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662925,#DERMA2927156,COD,700012,KOLKATA,z6,AHMEDABAD,GUJARAT,KOLKATA,"WEST BENGAL",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225248,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662926,#DERMA2927135,COD,302002,JAIPUR,z6,AHMEDABAD,GUJARAT,JAIPUR,RAJASTHAN,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225251,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662927,#DERMA2926395,COD,458001,MANDSAUR,z6,AHMEDABAD,GUJARAT,MANDSAUR,"MADHYA PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225252,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662928,#DERMA2926654,COD,500050,HYDERABAD,z6,AHMEDABAD,GUJARAT,HYDERABAD,TELANGANA,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225253,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662929,#DERMA2926486,COD,110086,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
